sim,year,species,comp_type,ess
425,2016,1,total,1508.5904246707491
426,2016,1,total,315.87446631473716
427,2016,1,total,222.15736438333735
428,2016,1,total,928.9841361491729
429,2016,1,total,1528.6095604090588
430,2016,1,total,648.4973787498303
431,2016,1,total,1943.6685993248307
432,2016,1,total,274.6259202884623
433,2016,1,total,510.04044094850013
434,2016,1,total,1979.1449445637795
435,2016,1,total,255.38350339933788
436,2016,1,total,363.9324766718761
437,2016,1,total,538.092085753772
438,2016,1,total,2716.7485822085096
439,2016,1,total,718.1184524884742
440,2016,1,total,1172.289217558632
441,2016,1,total,1447.6197973893297
442,2016,1,total,927.0815607148014
443,2016,1,total,701.8465154388334
444,2016,1,total,432.2600362755978
445,2016,1,total,305.5544656587652
446,2016,1,total,1392.5703559945657
447,2016,1,total,733.057593706632
448,2016,1,total,1133.9618574030305
449,2016,1,total,818.7537370182263
450,2016,1,total,1446.8339842420019
451,2016,1,total,411.4467734918187
452,2016,1,total,654.3776653673543
453,2016,1,total,1383.0010546932579
454,2016,1,total,297.17772814399547
455,2016,1,total,480.4543161772084
456,2016,1,total,371.7339354843512
457,2016,1,total,683.8413764725459
458,2016,1,total,472.3029940271206
459,2016,1,total,522.5463113629361
460,2016,1,total,409.7239121562785
461,2016,1,total,480.86467491436224
462,2016,1,total,783.2354239791107
463,2016,1,total,834.8736224400684
464,2016,1,total,304.57858373877684
465,2016,1,total,1130.4977509737346
466,2016,1,total,574.8451072190483
467,2016,1,total,759.7703104692652
468,2016,1,total,1569.6999729621612
469,2016,1,total,196.0348658999288
470,2016,1,total,532.7164636277043
471,2016,1,total,500.88689011569693
472,2016,1,total,329.6494947148532
473,2016,1,total,293.73109038692024
474,2016,1,total,937.7688656816409
475,2016,1,total,1491.901887590849
476,2016,1,total,1495.3449079972731
477,2016,1,total,329.7313504254416
478,2016,1,total,1040.9569093831537
479,2016,1,total,588.6573602086436
480,2016,1,total,243.7018201166207
481,2016,1,total,777.5358011710459
482,2016,1,total,723.0253606729161
483,2016,1,total,1450.8258249631313
484,2016,1,total,821.586888558567
485,2016,1,total,267.2279149336002
486,2016,1,total,451.83922419231004
487,2016,1,total,763.049510042157
488,2016,1,total,632.014637179319
489,2016,1,total,703.1788770442612
490,2016,1,total,341.2785492895027
491,2016,1,total,821.7091935247444
492,2016,1,total,1300.1978394820435
493,2016,1,total,677.4004365877247
494,2016,1,total,1242.0343882433542
495,2016,1,total,877.5307324772583
496,2016,1,total,1072.4802364089128
497,2016,1,total,699.3417232449224
498,2016,1,total,4175.064100666557
499,2016,1,total,692.71389037916515
500,2016,1,total,980.7471816791304
